erp_id;product_name;industrial_site;product_group1;product_group2;product_group3;barcode
39906; Томаты вяленые в масле 140г ст/б;Здоровая еда;Томаты;;;4650057304642
37795; Томаты маринованные 720мл ст/б (урожай 2023);ДОМАТ;Томаты;;;4650057300460
39905; Томаты полусушеные в масле 140г ст/б;Здоровая еда;Томаты;;;4650057304628
24755; Тропический коктейль (ананас/папайя/гуава) 425мл ж/б;KOLIATE;Прочее;;;4650057303126
43585; Тропический коктейль (ананас/папайя/гуава) 425мл ж/б;KOLIATE;Прочее;;;4650057303126
1711; Фасоль белая в томатном соусе 425мл ж/б;Белгородский;Фасоль;;;4650057300125
34291; Фасоль белая в томатном соусе 425мл ж/б;ДОМАТ;Фасоль;;;4650057300125
5012; Фасоль белая натуральная 425мл ж/б;Белгородский;Фасоль;;;4650057300101
21420; Фасоль белая натуральная 425мл ж/б;ДОМАТ;Фасоль;;;4650057300101
41967; Фасоль белая натуральная 425мл ж/б;ДОМАТ;Фасоль;;;4650057300101
2086; Фасоль красная в томатном соусе 425мл ж/б;Белгородский;Фасоль;;;4650057300187
34292; Фасоль красная в томатном соусе 425мл ж/б;ДОМАТ;Фасоль;;;4650057300187
5010; Фасоль красная натуральная 425мл ж/б;Белгородский;Фасоль;;;4650057300088
21421; Фасоль красная натуральная 425мл ж/б;ДОМАТ;Фасоль;;;4650057300088
41968; Фасоль красная натуральная 425мл ж/б;ДОМАТ;Фасоль;;;4650057300088
38317; Фейхоа протертая с сахаром 280г стб;Стоев;Ягоды;;;4650057304390
35981; Черника протертая с сахаром 280г стб;Стоев;Ягоды;;;4650057303997
